"ID","Term","Definition","Source","TermType","FocusArea","Action"
"","ZZTest Registered Mark","MERS® eRegistry Procedures Manual. Expected character: U+00AE REGISTERED SIGN.","MISMO (Non-LDD)","Other","#MISMOGOV","add"
"","ZZTest Copyright Sign","© 2026 MISMO. Expected character: U+00A9 COPYRIGHT SIGN.","MISMO (Non-LDD)","Other","#MISMOGOV","add"
"","ZZTest Trademark Sign","MISMO™ Reference Model. Expected character: U+2122 TRADE MARK SIGN.","MISMO (Non-LDD)","Other","#MISMOGOV","add"
"","ZZTest Curly Apostrophe","Engineer’s Report. Expected character: U+2019 RIGHT SINGLE QUOTATION MARK.","MISMO (Non-LDD)","Other","#MISMOGOV","add"
"","ZZTest Curly Quotes","The Borrower answered “yes” to the question. Expected: U+201C and U+201D.","MISMO (Non-LDD)","Other","#MISMOGOV","add"
"","ZZTest Em Dash","Financial status — ability of borrowers to meet their obligations. Expected: U+2014.","MISMO (Non-LDD)","Other","#MISMOGOV","add"
"","ZZTest En Dash","Effective 2018–2026. Expected character: U+2013 EN DASH.","MISMO (Non-LDD)","Other","#MISMOGOV","add"
"","ZZTest Ellipsis","Truncated here… Expected character: U+2026 HORIZONTAL ELLIPSIS.","MISMO (Non-LDD)","Other","#MISMOGOV","add"
"","ZZTest Accented Letters","Señor, naïve, résumé. Expected: U+00F1, U+00EF, U+00E9.","MISMO (Non-LDD)","Other","#MISMOGOV","add"
"","ZZTest Ampersand","Data Governance & Management. Expected a literal ampersand, not an HTML entity.","MISMO (Non-LDD)","Other","#MISMOGOV","add"
"","ZZTest Embedded Comma","One, two, three. Expected the commas to survive CSV parsing.","MISMO (Non-LDD)","Other","#MISMOGOV","add"
"","ZZTest Embedded Quote","He said ""hello"" plainly. Expected straight double quotes to survive.","MISMO (Non-LDD)","Other","#MISMOGOV","add"
